"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Merge-sort","60000","348","1728","124"
"Cocktail-sort","147000","6175","10507","124"
"Shell-sort","30000","993","1435","125"
"Merge-sort","60000","347","1744","125"
"Cocktail-sort","135000","5700","9224","125"
"Shell-sort","34000","1083","1529","126"
"Merge-sort","64000","359","1760","126"
"Cocktail-sort","141000","6197","9644","126"
"Shell-sort","30000","1043","1493","127"
"Merge-sort","62000","360","1776","127"
"Cocktail-sort","141000","6324","10033","127"
"Shell-sort","32000","1127","1581","128"
"Merge-sort","66000","377","1792","128"
"Cocktail-sort","140000","6624","10410","128"
"Shell-sort","32000","1118","1576","129"
"Merge-sort","59000","368","1810","129"
"Cocktail-sort","152000","6142","9828","129"
"Shell-sort","37000","1123","1585","130"
"Merge-sort","65000","360","1828","130"
"Cocktail-sort","150000","6650","10453","130"
"Shell-sort","30000","1063","1529","131"
"Merge-sort","53000","366","1846","131"
"Cocktail-sort","132000","6060","9415","131"
"Shell-sort","33000","1123","1593","132"
"Merge-sort","57000","380","1864","132"
"Cocktail-sort","170000","6534","10229","132"
"Shell-sort","35000","1078","1552","133"
"Merge-sort","53000","366","1882","133"
"Cocktail-sort","155000","6860","11246","133"
"Shell-sort","33000","1182","1660","134"
"Merge-sort","62000","388","1900","134"
"Cocktail-sort","159000","6993","11756","134"
"Shell-sort","44000","1146","1628","135"
"Merge-sort","54000","392","1918","135"
"Cocktail-sort","131000","7190","11731","135"
"Shell-sort","26000","1121","1607","136"
"Merge-sort","52000","388","1936","136"
"Cocktail-sort","134000","7566","12418","136"
"Shell-sort","26000","1142","1632","137"
"Merge-sort","52000","385","1954","137"
"Cocktail-sort","125000","7004","10751","137"
"Shell-sort","28000","1237","1731","138"
"Merge-sort","52000","404","1972","138"
"Cocktail-sort","139000","7722","12056","138"
"Shell-sort","26000","1192","1690","139"
"Merge-sort","46000","387","1990","139"
"Cocktail-sort","140000","7920","12641","139"
"Shell-sort","30000","1175","1677","140"
"Merge-sort","51000","388","2008","140"
"Cocktail-sort","143000","8118","13244","140"
"Shell-sort","27000","1163","1669","141"
"Merge-sort","55000","405","2026","141"
"Cocktail-sort","136000","7202","11957","141"
"Shell-sort","29000","1212","1722","142"
"Merge-sort","59000","406","2044","142"
"Cocktail-sort","140000","7561","11379","142"
"Shell-sort","31000","1284","1798","143"
"Merge-sort","53000","412","2062","143"
"Cocktail-sort","141000","7412","11774","143"
"Shell-sort","28000","1351","1869","144"
"Merge-sort","56000","415","2080","144"
"Cocktail-sort","158000","8686","14025","144"
"Shell-sort","30000","1264","1786","145"
"Merge-sort","57000","427","2098","145"
"Cocktail-sort","154000","8772","13825","145"
"Shell-sort","30000","1221","1747","146"
"Merge-sort","53000","424","2116","146"
"Cocktail-sort","166000","8137","13571","146"
"Shell-sort","35000","1266","1796","147"
"Merge-sort","60000","416","2134","147"
"Cocktail-sort","169000","8626","13585","147"
"Shell-sort","31000","1425","1959","148"
"Merge-sort","63000","423","2152","148"
"Cocktail-sort","160000","8640","12568","148"
"Shell-sort","32000","1351","1889","149"
"Merge-sort","57000","436","2170","149"
"Cocktail-sort","160000","8788","14368","149"
"Shell-sort","29000","1254","1796","150"
"Merge-sort","55000","419","2188","150"
"Cocktail-sort","153000","8437","13186","150"
"Shell-sort","30000","1288","1834","151"
"Merge-sort","58000","436","2206","151"
"Cocktail-sort","146000","8120","12415","151"
"Shell-sort","32000","1339","1889","152"
"Merge-sort","60000","450","2224","152"
"Cocktail-sort","160000","8814","13480","152"
"Shell-sort","33000","1287","1841","153"
"Merge-sort","57000","446","2242","153"
"Cocktail-sort","166000","8966","14488","153"
"Shell-sort","32000","1406","1964","154"
"Merge-sort","62000","452","2260","154"
"Cocktail-sort","173000","9337","14992","154"
