"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Cocktail-sort","18982000","6888379","11448207","4300"
"Shell-sort","422000","88728","117199","4301"
"Merge-sort","505000","22983","104044","4301"
"Cocktail-sort","19290000","7025360","11674048","4301"
"Shell-sort","404000","83636","112114","4302"
"Merge-sort","506000","23016","104072","4302"
"Cocktail-sort","19264000","7042297","11756447","4302"
"Shell-sort","412000","88904","117389","4303"
"Merge-sort","516000","22962","104100","4303"
"Cocktail-sort","19167000","6886062","11436045","4303"
"Shell-sort","409000","85831","114323","4304"
"Merge-sort","509000","22987","104128","4304"
"Cocktail-sort","19327000","7027710","11766055","4304"
"Shell-sort","406000","84103","112602","4305"
"Merge-sort","518000","23001","104156","4305"
"Cocktail-sort","19058000","6855304","11473117","4305"
"Shell-sort","409000","85714","114220","4306"
"Merge-sort","507000","22945","104184","4306"
"Cocktail-sort","19353000","6931533","11480285","4306"
"Shell-sort","408000","86733","115246","4307"
"Merge-sort","508000","22963","104212","4307"
"Cocktail-sort","19267000","6896744","11414889","4307"
"Shell-sort","401000","81183","109703","4308"
"Merge-sort","509000","23109","104240","4308"
"Cocktail-sort","19596000","7070230","11739130","4308"
"Shell-sort","404000","84699","113226","4309"
"Merge-sort","507000","23001","104268","4309"
"Cocktail-sort","19298000","7011028","11452445","4309"
"Shell-sort","405000","84201","112735","4310"
"Merge-sort","507000","22937","104296","4310"
"Cocktail-sort","19271000","7110265","11680667","4310"
"Shell-sort","408000","84708","113249","4311"
"Merge-sort","515000","22979","104324","4311"
"Cocktail-sort","19123000","6924872","11449727","4311"
"Shell-sort","411000","88054","116602","4312"
"Merge-sort","508000","23122","104352","4312"
"Cocktail-sort","19168000","7021827","11754071","4312"
"Shell-sort","410000","88124","116679","4313"
"Merge-sort","518000","23072","104380","4313"
"Cocktail-sort","18966000","6953040","11579135","4313"
"Shell-sort","408000","87375","115937","4314"
"Merge-sort","510000","23028","104408","4314"
"Cocktail-sort","19306000","6963850","11617013","4314"
"Shell-sort","407000","84521","113090","4315"
"Merge-sort","509000","23029","104436","4315"
"Cocktail-sort","19673000","7091994","11681742","4315"
"Shell-sort","411000","87551","116127","4316"
"Merge-sort","510000","23031","104464","4316"
"Cocktail-sort","19092000","6902720","11444226","4316"
"Shell-sort","407000","85895","114478","4317"
"Merge-sort","507000","23086","104492","4317"
"Cocktail-sort","19430000","7096412","11777022","4317"
"Shell-sort","405000","84620","113210","4318"
"Merge-sort","509000","23132","104520","4318"
"Cocktail-sort","19165000","7064749","11753677","4318"
"Shell-sort","417000","90704","119301","4319"
"Merge-sort","513000","22949","104548","4319"
"Cocktail-sort","19114000","6946318","11507747","4319"
"Shell-sort","405000","84266","112870","4320"
"Merge-sort","509000","22985","104576","4320"
"Cocktail-sort","19142000","7071262","11646907","4320"
"Shell-sort","409000","86095","114706","4321"
"Merge-sort","511000","23154","104604","4321"
"Cocktail-sort","19180000","7024270","11653887","4321"
"Shell-sort","409000","85619","114237","4322"
"Merge-sort","522000","23139","104632","4322"
"Cocktail-sort","19388000","7002720","11523064","4322"
"Shell-sort","416000","85248","113873","4323"
"Merge-sort","510000","23038","104660","4323"
"Cocktail-sort","19380000","6924164","11499337","4323"
"Shell-sort","404000","83519","112151","4324"
"Merge-sort","511000","23117","104688","4324"
"Cocktail-sort","19439000","7088550","11673932","4324"
"Shell-sort","418000","93102","121741","4325"
"Merge-sort","512000","23059","104716","4325"
"Cocktail-sort","19162000","7043712","11642432","4325"
"Shell-sort","408000","84104","112750","4326"
"Merge-sort","511000","23047","104744","4326"
"Cocktail-sort","19610000","7170997","11816506","4326"
"Shell-sort","412000","87045","115698","4327"
"Merge-sort","510000","23086","104772","4327"
"Cocktail-sort","19533000","7009184","11624464","4327"
"Shell-sort","412000","87242","115902","4328"
"Merge-sort","518000","23133","104800","4328"
"Cocktail-sort","18983000","6923742","11612437","4328"
"Shell-sort","414000","87996","116663","4329"
"Merge-sort","507000","23186","104828","4329"
"Cocktail-sort","19956000","7054568","11691783","4329"
"Shell-sort","414000","88840","117514","4330"
"Merge-sort","513000","23236","104856","4330"
"Cocktail-sort","19550000","6967632","11653466","4330"
"Shell-sort","413000","87412","116093","4331"
"Merge-sort","517000","23105","104884","4331"
"Cocktail-sort","19286000","7024330","11823079","4331"
"Shell-sort","421000","90725","119413","4332"
"Merge-sort","507000","23137","104912","4332"
"Cocktail-sort","19222000","6952099","11517366","4332"
"Shell-sort","413000","86168","114863","4333"
"Merge-sort","520000","23112","104940","4333"
"Cocktail-sort","19421000","7095504","11813695","4333"
"Shell-sort","403000","82505","111207","4334"
"Merge-sort","522000","23114","104968","4334"
"Cocktail-sort","19542000","7155165","11862665","4334"
"Shell-sort","413000","89700","118409","4335"
"Merge-sort","510000","23166","104996","4335"
"Cocktail-sort","19390000","7039492","11701432","4335"
"Shell-sort","409000","86928","115644","4336"
"Merge-sort","510000","23203","105024","4336"
"Cocktail-sort","19162000","6993630","11724633","4336"
"Shell-sort","405000","84118","112841","4337"
"Merge-sort","524000","23173","105052","4337"
"Cocktail-sort","19434000","7065500","11716474","4337"
"Shell-sort","408000","84253","112983","4338"
"Merge-sort","511000","23266","105080","4338"
"Cocktail-sort","19543000","7222981","11781736","4338"
"Shell-sort","425000","86419","115156","4339"
"Merge-sort","735000","23177","105108","4339"
"Cocktail-sort","19938000","7130076","11889097","4339"
"Shell-sort","410000","86272","115016","4340"
"Merge-sort","521000","23255","105136","4340"
"Cocktail-sort","19673000","7108699","11870077","4340"
"Shell-sort","406000","81544","110295","4341"
"Merge-sort","509000","23141","105164","4341"
"Cocktail-sort","19545000","7106588","11774548","4341"
"Shell-sort","414000","87440","116198","4342"
"Merge-sort","513000","23181","105192","4342"
"Cocktail-sort","19406000","7008681","11613969","4342"
"Shell-sort","411000","86653","115418","4343"
"Merge-sort","511000","23183","105220","4343"
"Cocktail-sort","19538000","7104500","11766134","4343"
"Shell-sort","407000","84635","113407","4344"
"Merge-sort","512000","23248","105248","4344"
"Cocktail-sort","19779000","7179480","11864012","4344"
"Shell-sort","415000","89888","118667","4345"
"Merge-sort","521000","23237","105276","4345"
"Cocktail-sort","19321000","7091568","11653044","4345"
"Shell-sort","406000","82762","111548","4346"
"Merge-sort","510000","23284","105304","4346"
"Cocktail-sort","19558000","7074193","11673330","4346"
"Shell-sort","419000","92615","121408","4347"
"Merge-sort","512000","23303","105332","4347"
"Cocktail-sort","19460000","7139104","11707777","4347"
"Shell-sort","409000","84850","113650","4348"
"Merge-sort","515000","23329","105360","4348"
"Cocktail-sort","19787000","7338984","12107698","4348"
"Shell-sort","404000","82321","111128","4349"
"Merge-sort","510000","23309","105388","4349"
"Cocktail-sort","19294000","7067602","11667968","4349"
"Shell-sort","415000","89070","117884","4350"
"Merge-sort","521000","23276","105416","4350"
"Cocktail-sort","19752000","7249945","12008374","4350"
"Shell-sort","409000","85826","114647","4351"
"Merge-sort","518000","23277","105444","4351"
"Cocktail-sort","19735000","7113320","11804352","4351"
"Shell-sort","412000","85121","113949","4352"
"Merge-sort","510000","23331","105472","4352"
"Cocktail-sort","19776000","7167294","12002234","4352"
"Shell-sort","410000","86032","114867","4353"
"Merge-sort","508000","23317","105500","4353"
"Cocktail-sort","19612000","7154446","11770553","4353"
"Shell-sort","416000","89762","118604","4354"
"Merge-sort","516000","23323","105528","4354"
"Cocktail-sort","19633000","7106816","11842889","4354"
"Shell-sort","413000","88553","117402","4355"
"Merge-sort","510000","23288","105556","4355"
"Cocktail-sort","19463000","7082772","11637481","4355"
"Shell-sort","416000","88332","117188","4356"
"Merge-sort","509000","23271","105584","4356"
"Cocktail-sort","19337000","7148083","11738388","4356"
"Shell-sort","411000","87019","115882","4357"
"Merge-sort","512000","23236","105612","4357"
"Cocktail-sort","19875000","7095864","11867685","4357"
"Shell-sort","433000","86167","115037","4358"
"Merge-sort","514000","23288","105640","4358"
"Cocktail-sort","20297000","7184832","11923982","4358"
"Shell-sort","410000","85193","114070","4359"
"Merge-sort","519000","23317","105668","4359"
"Cocktail-sort","19491000","7100200","11600800","4359"
"Shell-sort","412000","86470","115354","4360"
"Merge-sort","518000","23309","105696","4360"
"Cocktail-sort","19808000","7202142","11985642","4360"
"Shell-sort","415000","88087","116978","4361"
"Merge-sort","511000","23405","105724","4361"
"Cocktail-sort","19739000","7223638","11967991","4361"
"Shell-sort","417000","89914","118812","4362"
"Merge-sort","522000","23367","105752","4362"
"Cocktail-sort","19805000","7185040","11842474","4362"
"Shell-sort","410000","84639","113544","4363"
"Merge-sort","515000","23285","105780","4363"
"Cocktail-sort","19711000","7139504","11758486","4363"
"Shell-sort","462000","89179","118091","4364"
"Merge-sort","567000","23351","105808","4364"
"Cocktail-sort","19822000","7232448","11985518","4364"
"Shell-sort","409000","83477","112396","4365"
"Merge-sort","521000","23305","105836","4365"
"Cocktail-sort","20061000","7176500","11920377","4365"
"Shell-sort","410000","85067","113993","4366"
"Merge-sort","515000","23351","105864","4366"
"Cocktail-sort","19845000","7106576","11821973","4366"
"Shell-sort","422000","90528","119461","4367"
"Merge-sort","513000","23338","105892","4367"
"Cocktail-sort","19634000","7213332","11887328","4367"
"Shell-sort","415000","87715","116655","4368"
"Merge-sort","523000","23378","105920","4368"
"Cocktail-sort","19817000","7176574","11906063","4368"
"Shell-sort","414000","86506","115453","4369"
"Merge-sort","515000","23335","105948","4369"
"Cocktail-sort","19963000","7209120","12067718","4369"
"Shell-sort","418000","87913","116867","4370"
"Merge-sort","516000","23363","105976","4370"
"Cocktail-sort","19792000","7194000","11853970","4370"
"Shell-sort","413000","87002","115963","4371"
"Merge-sort","518000","23289","106004","4371"
"Cocktail-sort","20270000","7343618","12294923","4371"
"Shell-sort","411000","86802","115770","4372"
"Merge-sort","515000","23407","106032","4372"
"Cocktail-sort","19716000","7318464","12072415","4372"
"Shell-sort","410000","83407","112382","4373"
"Merge-sort","515000","23406","106060","4373"
"Cocktail-sort","19980000","7248164","11904674","4373"
"Shell-sort","410000","84901","113883","4374"
"Merge-sort","532000","23431","106088","4374"
"Cocktail-sort","19917000","7327210","12163590","4374"
"Shell-sort","407000","83897","112886","4375"
"Merge-sort","515000","23424","106116","4375"
"Cocktail-sort","20168000","7218032","11925974","4375"
"Shell-sort","417000","89152","118148","4376"
"Merge-sort","516000","23370","106144","4376"
"Cocktail-sort","20084000","7282747","12073412","4376"
"Shell-sort","410000","86025","115028","4377"
"Merge-sort","520000","23319","106172","4377"
"Cocktail-sort","19848000","7254896","12121650","4377"
"Shell-sort","421000","91001","120011","4378"
"Merge-sort","517000","23440","106200","4378"
"Cocktail-sort","19946000","7228992","11920744","4378"
"Shell-sort","425000","86915","115932","4379"
"Merge-sort","5426000","23487","106228","4379"
"Cocktail-sort","20002000","7295880","12178729","4379"
"Shell-sort","427000","87242","116266","4380"
"Merge-sort","518000","23401","106256","4380"
"Cocktail-sort","19896000","7198528","11873538","4380"
"Shell-sort","435000","90278","119309","4381"
"Merge-sort","521000","23408","106284","4381"
"Cocktail-sort","19694000","7278876","12032333","4381"
"Shell-sort","419000","87571","116609","4382"
"Merge-sort","518000","23484","106312","4382"
"Cocktail-sort","19946000","7237824","11936530","4382"
"Shell-sort","415000","86885","115930","4383"
"Merge-sort","515000","23429","106340","4383"
"Cocktail-sort","19999000","7152232","11792430","4383"
"Shell-sort","412000","86637","115689","4384"
"Merge-sort","516000","23417","106368","4384"
"Cocktail-sort","20466000","7098687","11873613","4384"
"Shell-sort","416000","90065","119124","4385"
"Merge-sort","526000","23432","106396","4385"
"Cocktail-sort","19657000","7169852","12004383","4385"
"Shell-sort","412000","85113","114179","4386"
"Merge-sort","516000","23419","106424","4386"
"Cocktail-sort","19688000","7229200","11884298","4386"
"Shell-sort","424000","91102","120175","4387"
"Merge-sort","519000","23435","106452","4387"
"Cocktail-sort","19926000","7158684","11961574","4387"
"Shell-sort","425000","93689","122769","4388"
"Merge-sort","523000","23509","106480","4388"
"Cocktail-sort","19936000","7309567","12019530","4388"
"Shell-sort","414000","86102","115189","4389"
"Merge-sort","518000","23424","106508","4389"
"Cocktail-sort","19841000","7220452","11954418","4389"
"Shell-sort","419000","90140","119234","4390"
"Merge-sort","521000","23454","106536","4390"
"Cocktail-sort","20390000","7233618","12000176","4390"
"Shell-sort","427000","95129","124230","4391"
"Merge-sort","517000","23441","106564","4391"
"Cocktail-sort","19912000","7242390","12122865","4391"
"Shell-sort","418000","89143","118251","4392"
"Merge-sort","520000","23453","106592","4392"
"Cocktail-sort","20114000","7367854","12186852","4392"
"Shell-sort","413000","86418","115533","4393"
"Merge-sort","520000","23502","106620","4393"
"Cocktail-sort","19871000","7165004","12139265","4393"
"Shell-sort","420000","88932","118054","4394"
"Merge-sort","516000","23527","106648","4394"
"Cocktail-sort","19996000","7270873","11985379","4394"
"Shell-sort","410000","84525","113654","4395"
"Merge-sort","519000","23471","106676","4395"
"Cocktail-sort","20012000","7312234","12079077","4395"
"Shell-sort","412000","84757","113893","4396"
"Merge-sort","525000","23443","106704","4396"
"Cocktail-sort","19731000","7207080","12055686","4396"
"Shell-sort","417000","88089","117232","4397"
"Merge-sort","519000","23551","106732","4397"
"Cocktail-sort","20128000","7340480","12188723","4397"
"Shell-sort","421000","91675","120825","4398"
"Merge-sort","522000","23497","106760","4398"
"Cocktail-sort","20140000","7449370","12366207","4398"
"Shell-sort","423000","92207","121364","4399"
"Merge-sort","523000","23567","106788","4399"
"Cocktail-sort","20099000","7240176","12088461","4399"
"Shell-sort","424000","93167","122331","4400"
"Merge-sort","522000","23542","106816","4400"
"Cocktail-sort","20151000","7347200","12304368","4400"
"Shell-sort","410000","83309","112480","4401"
"Merge-sort","519000","23472","106844","4401"
"Cocktail-sort","20267000","7435080","12311981","4401"
"Shell-sort","437000","90640","119818","4402"
"Merge-sort","528000","23480","106872","4402"
"Cocktail-sort","20035000","7392577","12290921","4402"
"Shell-sort","426000","94159","123344","4403"
"Merge-sort","520000","23528","106900","4403"
"Cocktail-sort","19912000","7288580","12089833","4403"
"Shell-sort","416000","87280","116472","4404"
"Merge-sort","521000","23510","106928","4404"
"Cocktail-sort","20170000","7277608","12120636","4404"
"Shell-sort","423000","91779","120978","4405"
"Merge-sort","529000","23514","106956","4405"
"Cocktail-sort","19703000","7358400","12200082","4405"
"Shell-sort","416000","86425","115631","4406"
"Merge-sort","519000","23589","106984","4406"
"Cocktail-sort","20025000","7275405","12043627","4406"
"Shell-sort","421000","89736","118949","4407"
"Merge-sort","521000","23473","107012","4407"
"Cocktail-sort","20088000","7275400","12011610","4407"
"Shell-sort","415000","86580","115800","4408"
"Merge-sort","520000","23572","107040","4408"
"Cocktail-sort","20191000","7412574","12267013","4408"
"Shell-sort","412000","84829","114056","4409"
"Merge-sort","524000","23607","107068","4409"
"Cocktail-sort","20121000","7290832","12172815","4409"
"Shell-sort","419000","89424","118658","4410"
"Merge-sort","520000","23632","107096","4410"
"Cocktail-sort","20047000","7228672","11930742","4410"
"Shell-sort","415000","86284","115525","4411"
"Merge-sort","519000","23563","107124","4411"
"Cocktail-sort","19819000","7323836","11943714","4411"
"Shell-sort","421000","89272","118520","4412"
"Merge-sort","523000","23600","107152","4412"
"Cocktail-sort","20191000","7221831","11939703","4412"
"Shell-sort","429000","95107","124362","4413"
"Merge-sort","532000","23559","107180","4413"
"Cocktail-sort","19924000","7339234","12185107","4413"
"Shell-sort","426000","91469","120731","4414"
"Merge-sort","519000","23577","107208","4414"
"Cocktail-sort","20303000","7304066","12106615","4414"
"Shell-sort","419000","86763","116032","4415"
"Merge-sort","522000","23496","107236","4415"
"Cocktail-sort","19885000","7319508","12049991","4415"
"Shell-sort","428000","93487","122763","4416"
"Merge-sort","521000","23608","107264","4416"
"Cocktail-sort","20066000","7317310","12140426","4416"
"Shell-sort","425000","89132","118415","4417"
"Merge-sort","523000","23610","107292","4417"
"Cocktail-sort","20124000","7323932","12210106","4417"
"Shell-sort","423000","89091","118381","4418"
"Merge-sort","522000","23615","107320","4418"
"Cocktail-sort","20108000","7352544","12227934","4418"
"Shell-sort","422000","90508","119805","4419"
"Merge-sort","527000","23617","107348","4419"
"Cocktail-sort","20103000","7295138","12096060","4419"
"Shell-sort","424000","90202","119506","4420"
"Merge-sort","524000","23615","107376","4420"
"Cocktail-sort","20100000","7387638","12163217","4420"
"Shell-sort","420000","89946","119257","4421"
"Merge-sort","522000","23623","107404","4421"
"Cocktail-sort","20289000","7363608","12184748","4421"
"Shell-sort","425000","92344","121662","4422"
"Merge-sort","527000","23673","107432","4422"
"Cocktail-sort","20163000","7268242","12067214","4422"
"Shell-sort","421000","89826","119151","4423"
"Merge-sort","524000","23647","107460","4423"
"Cocktail-sort","20321000","7250214","12025436","4423"
"Shell-sort","425000","88610","117942","4424"
"Merge-sort","524000","23701","107488","4424"
"Cocktail-sort","20037000","7315023","12238586","4424"
"Shell-sort","418000","85842","115181","4425"
"Merge-sort","526000","23602","107516","4425"
"Cocktail-sort","20618000","7326112","12116061","4425"
"Shell-sort","425000","90887","120233","4426"
"Merge-sort","524000","23637","107544","4426"
"Cocktail-sort","20315000","7387920","12184693","4426"
"Shell-sort","419000","90170","119523","4427"
"Merge-sort","524000","23697","107572","4427"
"Cocktail-sort","20426000","7468524","12374174","4427"
"Shell-sort","426000","94815","124175","4428"
"Merge-sort","524000","23618","107600","4428"
"Cocktail-sort","20365000","7390187","12285219","4428"
"Shell-sort","425000","92188","121555","4429"
"Merge-sort","522000","23640","107628","4429"
"Cocktail-sort","20183000","7319340","12074211","4429"
"Shell-sort","426000","91191","120565","4430"
"Merge-sort","530000","23651","107656","4430"
"Cocktail-sort","20403000","7401242","12263726","4430"
"Shell-sort","417000","86939","116320","4431"
"Merge-sort","522000","23722","107684","4431"
"Cocktail-sort","20484000","7337116","12107300","4431"
"Shell-sort","412000","83833","113221","4432"
"Merge-sort","525000","23671","107712","4432"
"Cocktail-sort","20303000","7287811","11991317","4432"
"Shell-sort","419000","87623","117018","4433"
"Merge-sort","525000","23701","107740","4433"
"Cocktail-sort","20857000","7443000","12314739","4433"
"Shell-sort","427000","92034","121436","4434"
"Merge-sort","524000","23624","107768","4434"
"Cocktail-sort","20329000","7312410","12159010","4434"
"Shell-sort","422000","90284","119693","4435"
"Merge-sort","529000","23677","107796","4435"
"Cocktail-sort","20385000","7421208","12269033","4435"
"Shell-sort","418000","87771","117187","4436"
"Merge-sort","534000","23756","107824","4436"
"Cocktail-sort","20363000","7473735","12410192","4436"
"Shell-sort","432000","96033","125456","4437"
"Merge-sort","523000","23647","107852","4437"
"Cocktail-sort","20432000","7462922","12339491","4437"
"Shell-sort","434000","87807","117237","4438"
"Merge-sort","530000","23742","107880","4438"
"Cocktail-sort","20361000","7372609","12227707","4438"
"Shell-sort","426000","92626","122063","4439"
"Merge-sort","530000","23796","107908","4439"
"Cocktail-sort","20463000","7405888","12390240","4439"
"Shell-sort","417000","86488","115932","4440"
"Merge-sort","528000","23715","107936","4440"
"Cocktail-sort","20585000","7556287","12363269","4440"
"Shell-sort","426000","91174","120625","4441"
"Merge-sort","527000","23717","107964","4441"
"Cocktail-sort","20138000","7347958","12251111","4441"
"Shell-sort","424000","89735","119193","4442"
"Merge-sort","527000","23782","107992","4442"
"Cocktail-sort","20720000","7513401","12474126","4442"
"Shell-sort","433000","86940","116405","4443"
"Merge-sort","530000","23753","108020","4443"
"Cocktail-sort","20354000","7465500","12363232","4443"
"Shell-sort","419000","86252","115724","4444"
"Merge-sort","525000","23703","108048","4444"
"Cocktail-sort","20429000","7472136","12290891","4444"
"Shell-sort","418000","85293","114772","4445"
"Merge-sort","527000","23755","108076","4445"
"Cocktail-sort","20209000","7388100","12137958","4445"
"Shell-sort","423000","90179","119665","4446"
"Merge-sort","530000","23787","108104","4446"
"Cocktail-sort","20440000","7456853","12591335","4446"
"Shell-sort","434000","95355","124848","4447"
"Merge-sort","539000","23785","108132","4447"
"Cocktail-sort","20517000","7428142","12285014","4447"
"Shell-sort","422000","88355","117855","4448"
"Merge-sort","527000","23757","108160","4448"
"Cocktail-sort","20504000","7367847","12220695","4448"
"Shell-sort","424000","86869","116376","4449"
"Merge-sort","529000","23769","108188","4449"
"Cocktail-sort","20529000","7500940","12402620","4449"
"Shell-sort","426000","90395","119909","4450"
"Merge-sort","527000","23799","108216","4450"
"Cocktail-sort","20451000","7527229","12398140","4450"
"Shell-sort","419000","88082","117603","4451"
"Merge-sort","527000","23867","108244","4451"
"Cocktail-sort","20401000","7385688","12197382","4451"
"Shell-sort","427000","90754","120282","4452"
"Merge-sort","527000","23787","108272","4452"
"Cocktail-sort","20332000","7516480","12508513","4452"
"Shell-sort","428000","93841","123376","4453"
"Merge-sort","536000","23788","108300","4453"
"Cocktail-sort","20880000","7577482","12569743","4453"
"Shell-sort","418000","87867","117409","4454"
"Merge-sort","532000","23823","108328","4454"
"Cocktail-sort","20537000","7485840","12446329","4454"
"Shell-sort","421000","86926","116475","4455"
"Merge-sort","528000","23865","108356","4455"
"Cocktail-sort","20597000","7459312","12404268","4455"
"Shell-sort","418000","87273","116829","4456"
"Merge-sort","528000","23858","108384","4456"
"Cocktail-sort","20676000","7474855","12338653","4456"
"Shell-sort","424000","88595","118158","4457"
"Merge-sort","531000","23833","108412","4457"
"Cocktail-sort","20468000","7488164","12321669","4457"
"Shell-sort","425000","90252","119822","4458"
"Merge-sort","527000","23840","108440","4458"
"Cocktail-sort","20583000","7483769","12353455","4458"
"Shell-sort","417000","86760","116337","4459"
"Merge-sort","531000","23825","108468","4459"
"Cocktail-sort","20551000","7488228","12441105","4459"
"Shell-sort","426000","89820","119404","4460"
"Merge-sort","529000","23783","108496","4460"
"Cocktail-sort","20675000","7576135","12564223","4460"
"Shell-sort","422000","90243","119834","4461"
"Merge-sort","529000","23889","108524","4461"
"Cocktail-sort","20806000","7472722","12373682","4461"
"Shell-sort","425000","89404","119002","4462"
"Merge-sort","527000","23809","108552","4462"
"Cocktail-sort","20725000","7569794","12487642","4462"
"Shell-sort","425000","89317","118922","4463"
"Merge-sort","527000","23885","108580","4463"
"Cocktail-sort","20440000","7474964","12481585","4463"
"Shell-sort","423000","88358","117970","4464"
"Merge-sort","536000","23846","108608","4464"
"Cocktail-sort","20799000","7488335","12452115","4464"
"Shell-sort","425000","88843","118462","4465"
"Merge-sort","529000","23916","108636","4465"
"Cocktail-sort","20732000","7559100","12474783","4465"
"Shell-sort","427000","91585","121211","4466"
"Merge-sort","527000","23838","108664","4466"
"Cocktail-sort","20587000","7445826","12250185","4466"
"Shell-sort","426000","88901","118534","4467"
"Merge-sort","529000","23904","108692","4467"
"Cocktail-sort","20577000","7637760","12703137","4467"
"Shell-sort","429000","91769","121409","4468"
"Merge-sort","529000","23841","108720","4468"
"Cocktail-sort","20561000","7576887","12449851","4468"
"Shell-sort","431000","92970","122617","4469"
"Merge-sort","528000","23858","108748","4469"
"Cocktail-sort","20427000","7463722","12349284","4469"
"Shell-sort","425000","90005","119659","4470"
"Merge-sort","538000","23901","108776","4470"
"Cocktail-sort","20923000","7566048","12511949","4470"
"Shell-sort","422000","88030","117691","4471"
"Merge-sort","531000","23929","108804","4471"
"Cocktail-sort","20760000","7501776","12380116","4471"
"Shell-sort","433000","95451","125119","4472"
"Merge-sort","532000","23864","108832","4472"
"Cocktail-sort","20724000","7655779","12692836","4472"
"Shell-sort","427000","90621","120296","4473"
"Merge-sort","529000","23901","108860","4473"
"Cocktail-sort","20781000","7501780","12502044","4473"
"Shell-sort","434000","89548","119230","4474"
"Merge-sort","531000","23833","108888","4474"
"Cocktail-sort","20685000","7519657","12575455","4474"
"Shell-sort","424000","88943","118632","4475"
"Merge-sort","539000","23966","108916","4475"
"Cocktail-sort","20618000","7395340","12326835","4475"
"Shell-sort","427000","87959","117655","4476"
"Merge-sort","528000","23949","108944","4476"
"Cocktail-sort","20638000","7495030","12527769","4476"
"Shell-sort","426000","89640","119343","4477"
"Merge-sort","526000","23954","108972","4477"
"Cocktail-sort","20708000","7506240","12465648","4477"
"Shell-sort","430000","94278","123988","4478"
"Merge-sort","539000","23896","109000","4478"
"Cocktail-sort","20441000","7537561","12537888","4478"
"Shell-sort","431000","92256","121973","4479"
"Merge-sort","525000","23939","109028","4479"
"Cocktail-sort","20935000","7667582","12771603","4479"
"Shell-sort","428000","89238","118962","4480"
"Merge-sort","529000","23960","109056","4480"
"Cocktail-sort","20361000","7528639","12409123","4480"
"Shell-sort","430000","89883","119614","4481"
"Merge-sort","533000","23977","109084","4481"
"Cocktail-sort","20891000","7577700","12629952","4481"
"Shell-sort","423000","89069","118807","4482"
"Merge-sort","528000","23948","109112","4482"
"Cocktail-sort","20840000","7508410","12446414","4482"
"Shell-sort","432000","89589","119334","4483"
"Merge-sort","527000","24009","109140","4483"
"Cocktail-sort","20851000","7617632","12599747","4483"
"Shell-sort","430000","93310","123062","4484"
"Merge-sort","533000","23994","109168","4484"
"Cocktail-sort","20860000","7705183","12599693","4484"
"Shell-sort","462000","92885","122644","4485"
"Merge-sort","539000","24102","109196","4485"
"Cocktail-sort","20636000","7430980","12344295","4485"
"Shell-sort","433000","96438","126204","4486"
"Merge-sort","533000","23926","109224","4486"
"Cocktail-sort","20846000","7679353","12638981","4486"
"Shell-sort","430000","91448","121221","4487"
"Merge-sort","544000","23976","109252","4487"
"Cocktail-sort","20782000","7496940","12546355","4487"
"Shell-sort","431000","93628","123408","4488"
"Merge-sort","533000","24041","109280","4488"
"Cocktail-sort","21035000","7677400","12651463","4488"
"Shell-sort","425000","89220","119007","4489"
"Merge-sort","530000","23983","109308","4489"
"Cocktail-sort","21087000","7604696","12651359","4489"
"Shell-sort","422000","87738","117532","4490"
"Merge-sort","534000","23969","109336","4490"
"Cocktail-sort","20925000","7510405","12520577","4490"
"Shell-sort","418000","84028","113829","4491"
"Merge-sort","532000","24057","109364","4491"
"Cocktail-sort","20848000","7598090","12640351","4491"
"Shell-sort","423000","87940","117748","4492"
"Merge-sort","537000","24109","109392","4492"
"Cocktail-sort","20882000","7562280","12511338","4492"
"Shell-sort","438000","95772","125587","4493"
"Merge-sort","530000","24030","109420","4493"
"Cocktail-sort","21068000","7560024","12562485","4493"
"Shell-sort","428000","92122","121944","4494"
"Merge-sort","531000","24024","109448","4494"
"Cocktail-sort","20689000","7494256","12524451","4494"
"Shell-sort","429000","90858","120687","4495"
"Merge-sort","536000","24031","109476","4495"
"Cocktail-sort","20859000","7482752","12571400","4495"
"Shell-sort","430000","90241","120077","4496"
"Merge-sort","530000","24007","109504","4496"
"Cocktail-sort","20895000","7636143","12739988","4496"
"Shell-sort","430000","90245","120088","4497"
"Merge-sort","531000","24068","109532","4497"
"Cocktail-sort","21022000","7607182","12609084","4497"
"Shell-sort","431000","90347","120197","4498"
"Merge-sort","542000","24064","109560","4498"
"Cocktail-sort","20747000","7602720","12515753","4498"
"Shell-sort","431000","93131","122988","4499"
"Merge-sort","534000","24043","109588","4499"
"Cocktail-sort","21134000","7676240","12731615","4499"
"Shell-sort","427000","90506","120370","4500"
"Merge-sort","534000","24098","109616","4500"
"Cocktail-sort","20659000","7643008","12697732","4500"
"Shell-sort","428000","88909","118780","4501"
"Merge-sort","534000","24059","109644","4501"
"Cocktail-sort","21181000","7611732","12699665","4501"
"Shell-sort","423000","86532","116410","4502"
"Merge-sort","531000","24058","109672","4502"
"Cocktail-sort","21194000","7790389","12773469","4502"
"Shell-sort","428000","92742","122627","4503"
"Merge-sort","530000","24100","109700","4503"
"Cocktail-sort","20661000","7461206","12465830","4503"
"Shell-sort","436000","93543","123435","4504"
"Merge-sort","537000","24228","109728","4504"
"Cocktail-sort","21151000","7602750","12462987","4504"
"Shell-sort","433000","92461","122360","4505"
"Merge-sort","533000","24090","109756","4505"
"Cocktail-sort","21040000","7674424","12778917","4505"
